Date,Open,High,Low,Close,Volume
2000-01-03,370,390,370,381.65,3318
2000-01-04,380,392,375,385.55,4818
2000-01-05,371.5,390,371.5,383,2628
2000-01-06,384.9,384.9,374.5,377.5,3354
2000-01-07,376,390,370,385.7,9589
2000-01-10,415,416.6,409,415,60313
2000-01-11,415,423,409,415.2,65570
2000-01-12,420,448.45,410.05,417.65,24854
2000-01-13,423,429.9,413.05,418.7,9169
2000-01-14,410,414.9,408,410,64603
2000-01-17,420,421,401,411.35,7537
2000-01-18,410,419,410,414.05,7656
2000-01-19,425,430,417.5,419.35,28800
2000-01-20,425,428.9,412,420.55,54282
2000-01-21,422,445,421.25,425.85,48388
2000-01-24,434,459.95,434,458.4,55504
2000-01-25,470,495.05,467,494.7,45422
2000-01-27,530,530,460,472.95,33156
2000-01-28,470,483,465,480.65,48664
2000-01-31,499,499,460,460.5,35334
2000-02-01,462,468,459,460.3,29884
2000-02-02,475,475,459,460.1,14142
2000-02-03,462,463,455,456.1,24627
2000-02-04,460,465,455,456.7,71643
2000-02-07,460,460,440,453.65,6906
2000-02-08,440,481,440,459.85,53864
2000-02-09,469,469,447.5,457.15,2794
2000-02-10,460,460,440,440.9,13668
2000-02-11,437,450,431.5,443.35,5349
2000-02-14,440,450,414.9,431.75,3624
2000-02-15,445,445,400.1,416.65,8167
2000-02-16,427,427,390,399.1,5557
2000-02-17,375,408,375,392.6,17561
2000-02-18,409,410,391,402.45,7253
2000-02-21,402,410,395.25,402.75,6568
2000-02-22,401,404,400,400.45,8046
2000-02-23,396,410,395,406.85,2776
2000-02-24,400,405,398,400.5,1872
2000-02-25,392,404.8,380,392.95,1010
2000-02-28,375,402.5,375,400.45,2057
2000-02-29,395,402.5,369,376.4,2964
2000-03-01,397,400,364,399.7,1383
2000-03-02,400,412,388.1,390,3829
2000-03-03,370,421.2,370,404.8,10700
2000-03-06,400,408,390,398.05,5122
2000-03-07,385.3,390,375,376.55,3976
2000-03-08,388,400,380,399.95,22425
2000-03-09,409.9,431,391,423.5,8150
2000-03-10,419,419,392.25,402.2,2124
2000-03-13,400,405,396,399.95,74011
2000-03-14,394.05,415,391,400.15,21141
2000-03-15,400,419.95,400,407.45,3251
2000-03-16,415,415,405,410,58313
2000-03-21,407,425,407,418.05,6582
2000-03-22,444,449,420,422.5,5524
2000-03-23,410,425,410,416.15,3406
2000-03-24,415,419.8,412,415.35,3656
2000-03-27,423,423,411.1,415.6,5379
2000-03-28,413,423.95,413,417,4554
2000-03-29,415.25,422,415,415,1159
2000-03-30,415,448.2,410,437.75,7824
2000-03-31,426,431,416,423.2,5074
2000-04-03,440,440,412,413.6,18297
2000-04-04,401,417,400,413.1,19926
2000-04-05,410,416.9,407,411.2,7122
2000-04-06,412,413,405.05,409.55,8585
2000-04-07,413,425,409,415.4,5440
2000-04-10,415,424.9,411.25,413.9,6751
2000-04-11,411,447,411,434.8,11291
2000-04-12,427.8,430,420,424.95,6442
2000-04-13,410,435,409,419.15,1333
2000-04-17,405,430,387,419.8,7497
2000-04-18,415,425,410,418.95,7120
2000-04-19,418,420,395,415,3392
2000-04-20,406.3,427,396,415,25817
2000-04-24,421,422,410.25,415.3,1302
2000-04-25,402,425,400.1,408.5,6090
2000-04-26,405,416,405,413.3,1557
2000-04-27,410,414.9,407,412.3,1096
2000-04-28,405.5,414,405,407,1100
2000-05-02,405,421.8,394,407.2,4998
2000-05-03,388,399.5,380,388.85,4855
2000-05-04,399,401,391,391.4,1934
2000-05-05,397,401.5,393.5,394.95,6556
2000-05-08,400,402,391.15,393.1,3930
2000-05-09,392.05,400,390,395.15,3731
2000-05-10,398,399,391,391.6,2336
2000-05-11,389,390,385.25,388.25,1047
2000-05-12,389,389,375,378.1,3211
2000-05-15,378,378,357,373.1,3032
2000-05-16,370,384,370,377.3,2918
2000-05-17,385,385,370.05,373.85,1378
2000-05-18,370,376,370,371,388
2000-05-19,371,377.9,361,366.5,3421
2000-05-22,357,369,350,358.45,1655
2000-05-23,360,401.5,359,397,20792
2000-05-24,414.7,442.95,400,428.25,52427
2000-05-25,428,438,420,421.95,23623
2000-05-26,419,427,415.1,424.1,10887
2000-05-29,434,434,423.8,428.3,19066
2000-05-30,426,429.7,411.5,420.6,19755
2000-05-31,420,445.95,420,426.15,29768
2000-06-01,427.9,428,420,426.25,73556
2000-06-02,425,432.8,420.1,422.35,8907
2000-06-05,423.9,432,415,418.55,10094
2000-06-06,415,424.5,408.05,419.9,12675
2000-06-07,424.9,424.9,415,416.6,4327
2000-06-08,424.9,424.9,414.5,415.35,2049
2000-06-09,416.5,416.5,410,413.2,1932
2000-06-12,415,415,405,405.85,2363
2000-06-13,409.5,414.8,390,408,2631
2000-06-14,414,423.5,406.35,408.55,3134
2000-06-15,408,411,405.5,409.65,1538
2000-06-16,407,410,405,408.35,1658
2000-06-19,405.05,412,405,405.85,7970
2000-06-20,405,409.95,405,405.55,4748
2000-06-21,410,410,403,405.1,1764
2000-06-22,405,408.9,403,405.5,3237
2000-06-23,403,406.9,401,405.5,1513
2000-06-26,404.75,408.7,398.15,403,3547
2000-06-27,401.05,408,398,400.05,3378
2000-06-28,399.1,404.95,399,403.8,1076
2000-06-29,407.9,407.9,402.05,404.6,1713
2000-06-30,402,404.95,400,404.3,1128
2000-07-03,406,408.9,401.05,403.45,1551
2000-07-04,402,406,400,400.5,3849
2000-07-05,403,409.9,395,399.5,3346
2000-07-06,403.95,403.95,400,400.3,710
2000-07-07,404,404,396.1,400.3,3570
2000-07-10,405,409,400,400.7,2956
2000-07-11,405,407,400.05,401.65,4565
2000-07-12,410,418,405,409.65,14020
2000-07-13,421,437,415,430.45,29178
2000-07-14,436,452,433,445.7,34103
2000-07-17,454,454,426,438.25,10491
2000-07-18,434.25,439.8,430.1,435.25,11930
2000-07-19,424.1,439.5,424,429.15,3019
2000-07-20,423.5,435,423,433.7,2856
2000-07-21,435,438.85,414,435.7,7154
2000-07-24,425,435,412,431.85,9806
2000-07-25,415,452.5,415,435.25,20036
2000-07-26,444,455,438.05,444.5,16752
2000-07-27,444,449.5,440,440.1,8977
2000-07-28,448.4,448.4,430,436.9,3786
2000-07-31,443,460,443,448.85,24372
2000-08-01,450,474.8,445,464,25371
2000-08-02,272,279,268.5,272.1,18463
2000-08-03,272,272,262,263.4,8818
2000-08-04,257,274,257,272.1,19530
2000-08-07,273.5,275,268,270.1,10664
2000-08-08,274.9,274.95,268.1,271.8,5080
2000-08-09,270.05,273.9,268.05,270.7,3588
