Date,Open,High,Low,Close,Volume
1/3/2000,26.7,26.7,26.7,26.7,112100
1/4/2000,27,28.7,26.5,26.85,234500
1/5/2000,26,27.75,25.5,26.3,170100
1/6/2000,25.8,27,25.8,25.95,102100
1/7/2000,25,26,24.25,24.8,62600
1/10/2000,25.05,26.5,25,25,64200
1/11/2000,24.25,24.8,23,23.2,91700
1/12/2000,22.6,24.5,22.6,24,32500
1/13/2000,24.5,24.5,23.1,23.6,48300
1/14/2000,24,24.2,22.5,23.25,30700
1/17/2000,24.5,25.15,24.25,25.15,82400
1/18/2000,26.5,26.5,24.3,24.9,110400
1/19/2000,24.75,26,24.75,25.6,89300
1/20/2000,26.1,26.25,24.3,24.45,103500
1/21/2000,25,25.3,24.3,25.1,47300
1/24/2000,25.6,25.75,24.6,24.8,102400
1/25/2000,25,25.4,24.05,25.05,131700
1/27/2000,25.85,27.05,25.25,27.05,201400
1/28/2000,28,29.25,27.1,29.25,311600
1/31/2000,31,31.6,30.1,31.6,317000
2/1/2000,32.95,34.15,32.95,34.15,201000
2/2/2000,36.9,36.9,36.9,36.9,65800
2/3/2000,39.85,39.85,39.85,39.85,160400
2/4/2000,43.05,43.05,43.05,43.05,60700
2/7/2000,46.5,46.5,39.65,39.65,790600
2/8/2000,38,40.75,37,37.95,434100
2/9/2000,39.5,40,35.05,36.05,284200
2/10/2000,37.5,38.95,36.5,38.95,214000
2/11/2000,42.1,42.1,42.1,42.1,129700
2/14/2000,44.95,45.25,38.75,38.75,236000
2/15/2000,37.25,37.25,35.65,35.65,285600
2/16/2000,37,38.5,36,38.1,205200
2/17/2000,39.5,40,37.3,38.5,145600
2/18/2000,37.55,37.75,35.5,36.6,101900
2/21/2000,38.25,38.25,34.7,35.4,119100
2/22/2000,37.2,38,33.3,33.75,185300
2/23/2000,35,36.4,34,34.55,100300
2/24/2000,37.35,37.35,33,37.35,247000
2/25/2000,39.75,40.1,35.8,39.45,208500
2/28/2000,42.5,42.65,37,38.85,210000
2/29/2000,41,41,35.75,36.25,316300
3/1/2000,37,39.15,36.9,39.15,132000
3/2/2000,42.2,42.2,38,38.2,172700
3/3/2000,38,38,35.15,35.55,144700
3/6/2000,37.7,37.8,35,35.2,90200
