Date,Open,High,Low,Close,Volume
2000-01-03,15625,15625.2,15625,15625.2,5137
2000-01-04,16800,16875.25,16253,16855.9,56186
2000-01-05,15701,16250,15507.45,15507.45,164605
2000-01-06,15256.65,15300,14266.85,14266.85,81997
2000-01-07,13125.5,13125.5,13125.5,13125.5,7589
2000-01-10,13125.5,14175.5,12075.5,13757.3,236175
2000-01-11,13200,13800,12656.75,12656.75,122331
2000-01-12,11950,13349,11766,13077.55,203074
2000-01-13,13100,13149,12031.35,12090.6,156550
2000-01-14,12249,12297,11203,12176.4,125313
2000-01-17,12200,12885,11720,11870.9,141351
2000-01-18,11739.7,12169,11325,11935.65,158523
2000-01-19,12546,12890.5,12420,12889.85,156209
2000-01-20,13200,13551,12611,12747.05,154520
2000-01-21,12900,13590,12503,13420.2,162391
2000-01-24,13600,14489,13600,13878.8,197315
2000-01-25,13800,14250,13400.05,14109.4,159919
2000-01-27,7570,7600,7293,7390.75,202403
2000-01-28,7426,7699,7426,7611.55,270024
2000-01-31,7535.5,7544,7127,7221.7,118723
2000-02-01,7250,7450,7150,7417.4,110241
2000-02-02,7590,7700,7349.5,7365.8,148305
2000-02-03,7416,7510,7370,7440.8,94251
2000-02-04,7475,7950,7475,7896.95,315261
2000-02-07,7899,8528.75,7899,8496.2,265447
2000-02-08,8495,9150,8495,8898.2,232856
2000-02-09,9399,9399,8600,8709.75,165555
2000-02-10,8799,9275,8799,9209,293402
2000-02-11,9269,9945.75,9269,9945.75,32816
2000-02-14,10741.45,10741.45,10741.45,10741.45,23733
2000-02-15,10741.45,10741.45,9882.15,9961.75,333437
2000-02-16,10050,10300,9635,10037.85,198757
2000-02-17,10000,10800,10000,10298.3,189457
2000-02-18,10419,10500,9775,9864.6,166067
2000-02-21,9850,10500,9701,10254.75,277368
2000-02-22,10339,10339,9750,9830.1,188540
2000-02-23,10500,10500,9043.7,9214.95,186634
2000-02-24,9390,9649,8988,9297,129070
2000-02-25,9400,9489.85,8850,8987.2,77029
2000-02-28,8900,8900,8268.25,8509.7,119006
2000-02-29,8600,9190.5,8350,8779.4,250497
2000-03-01,9099,9481.75,9000,9481.75,98216
2000-03-02,10134.75,10240.3,9932.1,10240.3,25110
2000-03-03,11059.55,11059.55,11059.55,11059.55,26691
2000-03-06,11939.65,11944.35,10560,11944.35,21653
2000-03-07,12800,12899.9,12800,12899.9,54333
2000-03-08,13450,13931.9,11985,12315.05,350512
2000-03-09,12690,13000,11630,11858.55,130230
2000-03-10,12099,12745,11426.55,11664.8,160307
2000-03-13,11700,12199,10731.65,10731.65,117401
2000-03-14,10210,10210,9873.15,9873.15,131103
2000-03-15,9131,10250,9083.3,9966.95,254096
2000-03-16,9600,9600,9169.6,9169.6,89462
2000-03-21,9195,9903.2,8511,9903.2,228646
2000-03-22,9700,10695.5,9500,10694.3,149696
2000-03-23,10960,11540,10150,10264.05,222929
2000-03-24,10110,11080,10110,10823.45,191471
2000-03-27,10500,10999,10300,10367.35,126203
2000-03-28,10101,10200,9661.15,9947.6,139382
2000-03-29,10200,10680,10151,10188.9,102186
2000-03-30,9900,9900,9380,9745.7,119682
2000-03-31,9600,9600,8966.05,8970.15,126260
2000-04-03,8501,9000,8252.55,8252.55,58493
2000-04-04,7592.35,7592.35,7592.35,7592.35,6253
2000-04-05,7051,8199,7051,7797.65,442955
2000-04-06,7852,8421.5,7301,8415.3,469687
2000-04-07,9088.55,9088.55,9088.55,9088.55,3475
2000-04-10,9815.65,9815.65,9815.65,9815.65,3291
2000-04-11,9815.65,10600.9,9051,10599.2,424595
2000-04-12,10390,10573,9990,10077,256124
2000-04-13,9900.05,9900.05,9270.85,9270.85,51784
2000-04-17,8529.2,8529.2,8529.2,8529.2,3439
2000-04-18,8529.2,8799,7846.9,7846.9,233506
2000-04-19,8474,8474,7219.15,7250.05,398588
2000-04-20,6802,7818,6671,7603.55,574575
2000-04-24,7798,7899,7210,7371.4,271376
2000-04-25,7216,7394,6781.7,7172.35,256876
2000-04-26,7742.85,7742.9,7651,7742.9,67657
2000-04-27,7990,8174,7742.9,7988.25,388048
2000-04-28,8100,8488,7955,8121.65,298589
2000-05-02,8250,8470,7745,7883.3,399724
2000-05-03,7350,7899,6937.3,7648.9,513875
2000-05-04,7690,8230,7550,8179.55,392461
2000-05-05,8230,8729.85,8230,8566,481595
2000-05-08,8599,8740,7540,7597.8,756241
2000-05-09,7501,7945,7000,7876,487739
2000-05-10,7950,7975,7550,7760.95,377044
2000-05-11,7610,7610,6910.25,7060.95,496088
2000-05-12,7150,7300,6752.5,6860.9,502746
2000-05-15,6805,7190,6051.1,6939.3,675941
2000-05-16,6999,7100,6720,6863.9,470408
2000-05-17,7166.6,7413.05,6881,6962.85,389893
2000-05-18,6950,6995,6752,6897.85,255152
2000-05-19,6900.15,6900.15,6301.7,6456.35,559208
2000-05-22,6258,6258,5831,5939,432449
2000-05-23,5800.05,6168.8,5525.05,6016.35,537884
2000-05-24,5901,6135,5700,6047.3,607288
2000-05-25,6090,6318,6000,6039.15,535245
2000-05-26,6085,6138,5825,5978.35,565914
2000-05-29,5912,5960,5580.1,5891.35,416259
2000-05-30,5925,6330,5852.25,6266.95,410595
2000-05-31,6679,7019,6679,6998.75,342128
2000-06-01,6950,7122.35,6833,6993.65,419598
2000-06-02,7040,7690,7040,7534.2,611577
2000-06-05,7600,8438.3,7600,8001.95,435873
2000-06-06,8052,8170,7800,7971.65,451479
2000-06-07,7850,8066,7700,7836.6,446080
2000-06-08,7845,7999,7800,7906.9,316289
2000-06-09,7949.9,8179.85,7870,7935.05,502416
2000-06-12,7825,7978,7721,7764.2,227838
2000-06-13,7701.15,7845,7451,7770.45,303756
2000-06-14,7689,7949,7689,7813.1,246938
2000-06-15,7802,8399,7752,8282.35,746577
2000-06-16,8201,8490,8149,8390.65,500137
2000-06-19,8400,8668,8251,8565.7,614834
2000-06-20,8535,8950,8535,8728.95,394110
2000-06-21,8900,8900,8430,8500.75,429796
2000-06-22,8500,8593,8401,8512.6,339271
2000-06-23,8496,8496,8166,8259.25,344091
2000-06-26,8200.05,8200.05,7850.1,8083.15,273596
2000-06-27,8179,8308.9,8005,8157.5,310998
2000-06-28,8100,8260,7902,8216.8,190015
2000-06-29,8269,8649,8269,8390.5,263555
2000-06-30,8306,8350,8151,8310.4,240715
2000-07-03,8390,8619,8390,8583.55,331788
2000-07-04,8620,8798,8601,8749.85,349954
2000-07-05,8788,8812,8556,8600.45,247278
2000-07-06,8565,8565,8370,8468.25,213964
2000-07-07,8489.9,8619.85,8456.1,8487.65,253472
2000-07-10,8510,8560,8264,8296.6,243594
2000-07-11,8333,8525,8240,8273.25,421302
2000-07-12,8275,8399,8090,8361.55,456013
2000-07-13,8448,8529.95,7950,8031.15,429320
2000-07-14,7900.05,8038,7681,7770.05,857042
2000-07-17,7750,7819.9,7610,7692.6,414452
2000-07-18,7697,7699,7372,7454.55,595418
2000-07-19,7100.6,7480,7082.2,7325.1,480810
2000-07-20,7291,7374.45,7205,7347.25,352790
2000-07-21,7374.45,7510,7301,7349.3,442516
2000-07-24,7262,7262,6766,6851.8,529460
2000-07-25,6500,7245,6352,7118.45,769192
2000-07-26,7268,7299,6601.15,6656.1,533944
2000-07-27,6600,6849,6355,6787.2,623120
2000-07-28,6825,7065,6721,6845.3,690351
2000-07-31,6850,6909,6651,6761.25,337832
2000-08-01,6840,6898,6712.6,6748.15,371961
2000-08-02,6624,6658,6485,6627.1,421744
2000-08-03,6580,6580,6300,6450.6,421473
2000-08-04,6411,6629,6255.6,6325.2,706349
2000-08-07,6369,6490,6320,6438.8,388077
2000-08-08,6490,7469.05,6490,7459.25,1187055
2000-08-09,7690,7840,7525,7571.65,706069
2000-08-10,7510,7674,7221.3,7270.55,546702
2000-08-11,7237,7495,7135,7235.55,811922
2000-08-14,7295,7347,7171,7280.5,483206
2000-08-16,7425,7789,7411,7735.3,660796
2000-08-17,7768,7824,7530,7561.85,368614
2000-08-18,7552.2,8014.95,7552.2,7970.9,1175987
2000-08-21,7999,8084,7801,7965.9,674358
2000-08-22,7985,8603,7985,8295.85,669011
2000-08-23,8143,8209.8,8001,8045.85,403077
2000-08-24,8000,8275,7961,8211.05,575476
2000-08-25,8275,8319.9,8100,8155.85,558580
2000-08-28,8140,8200,7775,7797.9,404320
2000-08-29,7750.05,7910,7671,7841.45,497783
2000-08-30,7801,7970,7800,7852.2,389141
2000-08-31,7825,8470,7810.55,8326.8,1454238
2000-09-04,8400,8700,8400,8609.4,683066
2000-09-05,8620,8649,8475,8532.1,398037
2000-09-06,8412,8469,8270.05,8360.5,417458
2000-09-07,8285,8448,8221.1,8358.1,506328
2000-09-08,8390,8639,8390,8582.7,805864
2000-09-11,8600,8825,8490,8681.75,836587
2000-09-12,8700,8914,8570.1,8841.4,882718
2000-09-13,8808,8949,8675,8716.1,890364
2000-09-14,8725,8835,8361,8591.55,1299136
2000-09-15,8511,8624,8450,8497.8,844157
2000-09-18,8452,8452,7965,8006.65,843289
2000-09-19,7905,7945,7410,7641.75,816656
2000-09-20,7850,7975,7575,7796.4,358909
2000-09-21,7747,7761,7550,7579.75,329401
2000-09-22,7526,7526,6975,7041.2,803377
2000-09-25,7329,7604.5,7300,7541.15,570198
2000-09-26,7650,7650,7192.1,7247.8,526609
2000-09-27,7200,7520,7026,7461.15,666324
2000-09-28,7441,7595,7251.6,7376.8,527986
2000-09-29,7413,7510,7326,7361.25,457021
2000-10-03,7325,7610,7150,7470.6,650930
2000-10-04,7300,7692,7300,7651.7,702495
2000-10-05,7585,7725,7484,7517.05,646560
2000-10-06,7480,7574.8,7241.2,7534.15,1035061
2000-10-09,7500,7511.1,7351,7393.95,512762
2000-10-10,7449,7539,7235,7340.85,961657
2000-10-11,7100,7149,6785,6814.45,1011487
2000-10-12,6790,6849.9,6556,6794.1,1089314
2000-10-13,6720,6720,6480.05,6516.95,995508
2000-10-16,6559,7038.3,6470,6521.35,968899
2000-10-17,6477,6577,6285,6464.25,992791
2000-10-18,6359.95,6387.85,6120.05,6230.05,843440
2000-10-19,6206,6728,6120,6667.35,1043077
2000-10-20,6800,7189.8,6800,7123.85,1238632
2000-10-23,7114.8,7140,6805.3,6870.3,801764
2000-10-24,6832,7088.65,6720,7020.25,743771
2000-10-25,7249,7290,7150,7183,717507
2000-10-26,7140,7199.9,7058,7142,151271
2000-10-27,7169,7249,7133,7200.95,321055
2000-10-30,7239,7247,7066,7111.55,322876
2000-10-31,7101.1,7174,6976,7132.95,439410
2000-11-01,7349.9,7368,7259.9,7302.9,441737
2000-11-02,7320,7448,7320,7407.4,530975
2000-11-03,7430,7609,7380,7570,663590
2000-11-06,7569,7655,7510,7599.7,566501
2000-11-07,7551,7737.65,7505.55,7710.95,556586
2000-11-08,7700,8014,7676,7951.5,804881
